entity_surface	gold_transcript	levenshtein_norm	entity_fine_type	wikidata_id	frequency
Essay on IL.	Essay on L.	0.0833333333333333	work.seclit		1
ἘΠ.	El.	0.6666666666666666	work.primlit	http://www.wikidata.org/entity/Q733444	1
1b.	ib.	0.3333333333333333	work.primlit		1
Ο. 7.	O. T.	0.4	work.primlit	http://www.wikidata.org/entity/Q148643	1
Essay on L	Essay on L.	0.0909090909090909	work.seclit		1
Ale.	Alc.	0.25	pers.author	http://www.wikidata.org/entity/Q212872	1
5. c¢. Τὶ	S. c. T.	0.4444444444444444	work.primlit	http://www.wikidata.org/entity/Q506546	1
ΕἸ,	El.	1.0	work.primlit	http://www.wikidata.org/entity/Q540161	1
Phil,	Phil.	0.2	work.primlit	http://www.wikidata.org/entity/Q1415903	1
5,	S.	1.0	pers.author		1
Hat.	Hdt.	0.25	pers.author	http://www.wikidata.org/entity/Q26825	1
Ο, C.	O. C.	0.4	work.primlit	http://www.wikidata.org/entity/Q294001	1
Mids. N. Ὁ,	Mids. N. D.	0.1818181818181818	work.primlit	http://www.wikidata.org/entity/Q104871	1
I A.	I. A.	0.2	work.primlit	http://www.wikidata.org/entity/Q1233770	1
EL,	El.	0.6666666666666666	work.primlit	http://www.wikidata.org/entity/Q733444	1
Zragicorum Graecorum Fragmenta	Tragicorum Graecorum Fragmenta	0.0333333333333333	work.fragm		1
elios	Helios	0.1666666666666666	pers.myth	http://www.wikidata.org/entity/Q134270	1
Diibner	Dübner	0.2857142857142857	pers.other	http://www.wikidata.org/entity/Q97220	1
155%	1552/3	0.5	date		1
1.	Il.	0.6666666666666666	work.primlit	http://www.wikidata.org/entity/Q8275	1
1],	Il.	1.0	work.primlit	http://www.wikidata.org/entity/Q8275	1
Fop.	Rep.	0.5	work.primlit		1
//.	Il.	0.6666666666666666	work.primlit	http://www.wikidata.org/entity/Q8275	1
The .	Theb.	0.2	work.primlit	http://www.wikidata.org/entity/Q506546	1
Bax	Pax	0.3333333333333333	work.primlit	http://www.wikidata.org/wiki/Q1193602	1
Very.	Verg.	0.2	pers.author	http://www.wikidata.org/entity/Q1398	1
ll.	Il.	0.3333333333333333	work.primlit	http://www.wikidata.org/entity/Q8275	1
Aphrodit	Aphrodite	0.1111111111111111	pers.myth	http://www.wikidata.org/entity/Q35500	1
Odys- neus	Odys- seus	0.125	pers.myth	http://www.wikidata.org/entity/Q47231	1
fb.	Ib.	0.3333333333333333	work.primlit	http://www.wikidata.org/entity/Q123397	1
Pinder	Pindar	0.1666666666666666	pers.author	http://www.wikidata.org/entity/Q134929	1
circ. όοο---595 B.C.	circ. 600—595 B.C.	0.2222222222222222	date		1
Δ δίς	Rhet.	1.0	work.primlit	http://www.wikidata.org/entity/Q1896045	1
Zl.	Il.	0.3333333333333333	work.primlit	http://www.wikidata.org/entity/Q8275	1
1. A.	I. A.	0.2	work.primlit	http://www.wikidata.org/entity/Q1233770	1
//iad	Iliad	0.4	work.primlit	http://www.wikidata.org/entity/Q8275	1
Dindgrf	Dindorf	0.1428571428571428	pers.editor	http://www.wikidata.org/entity/Q67533	1
E.on 1,	E. on L.	0.375	work.seclit		1
Archil,	Archil.	0.1428571428571428	pers.author	http://www.wikidata.org/entity/Q201323	1
El,	El.	0.3333333333333333	work.primlit	http://www.wikidata.org/entity/Q733444	1
O. Ὁ,	O. C.	0.4	work.primlit	http://www.wikidata.org/entity/Q294001	1
0.C.	O. C.	0.4	work.primlit	http://www.wikidata.org/entity/Q294001	1
L. and 5.	L. and S.	0.1111111111111111	work.seclit		1
Ο. 6,	O. C.	0.6	work.primlit	http://www.wikidata.org/entity/Q294001	1
ἘΒ65.	Rhes.	0.8	work.primlit	http://www.wikidata.org/entity/Q667750	1
Menelais	Menelaüs	0.125	pers.myth	http://www.wikidata.org/entity/Q171839	1
